Timestamp,RMS Current,Average Current,Peak Current,Apparent (W),Active (W),Reactive (W),Power Factor,Fundamental Frequency (50Hz),Third Harmonics (150Hz),Fifth (250Hz),Seventh (350Hz),Ninth (450Hz)
2022-11-14 16:42:33,0.01,0.0,0.01,2.07,0.39,2.03,0.1887663376,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:34,0.01,0.0,0.01,2.93,0.5,2.88,0.1704247889,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:35,0.01,0.0,0.01,2.69,0.45,2.65,0.165864816,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:36,0.01,0.0,0.02,2.96,0.45,2.92,0.152660857,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:37,0.01,0.0,0.01,2.57,0.51,2.52,0.1980594696,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:38,0.01,0.0,0.01,3.5,0.62,3.45,0.1762706922,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:39,0.01,0.0,0.0,2.72,0.49,2.67,0.1811239235,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:40,0.01,0.0,0.01,2.63,0.49,2.58,0.1860200431,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:41,0.01,0.0,0.0,2.51,0.45,2.47,0.1781322487,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:42,0.01,0.0,0.01,2.54,0.45,2.5,0.1786273619,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:43,0.01,0.0,0.0,2.54,0.42,2.5,0.1673151708,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:44,0.01,0.0,0.0,2.53,0.42,2.5,0.1677792048,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:45,0.01,0.0,0.0,2.67,0.49,2.62,0.1847088257,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:46,0.01,0.0,0.01,3.29,0.64,3.22,0.1959526723,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:47,2.13,1.7,3.38,518.48,472.25,214.01,0.9108404579,2.87,0.56,0.04,0.05,0.05
2022-11-14 16:42:48,10.91,9.12,14.99,2714.11,2655.84,559.4,0.9785289984,15.2,2.7,0.43,0.3,0.12
2022-11-14 16:42:49,8.26,7.0,11.51,2061.15,2029.1,362.06,0.9844506646,11.56,1.82,0.32,0.21,0.1
2022-11-14 16:42:50,8.2,6.95,11.4,2045.2,2014.18,354.89,0.9848294328,11.46,1.78,0.32,0.2,0.09
2022-11-14 16:42:51,8.18,6.94,11.39,2042.46,2011.6,353.71,0.9848902251,11.44,1.77,0.32,0.2,0.09
2022-11-14 16:42:52,8.16,6.93,11.37,2037.21,2006.79,350.71,0.9850702566,11.41,1.76,0.32,0.19,0.09
2022-11-14 16:42:53,8.15,6.92,11.34,2034.19,2004.03,348.99,0.9851736407,11.39,1.75,0.32,0.19,0.09
2022-11-14 16:42:54,8.15,6.91,11.37,2033.81,2003.4,350.4,0.9850470175,11.38,1.75,0.31,0.19,0.08
2022-11-14 16:42:55,8.13,6.9,11.36,2031.32,2000.89,350.28,0.9850199909,11.36,1.75,0.32,0.18,0.08
2022-11-14 16:42:56,8.12,6.89,11.31,2029.09,1998.72,349.78,0.9850298076,11.35,1.75,0.31,0.18,0.09
2022-11-14 16:42:57,8.11,6.88,11.31,2025.89,1995.29,350.79,0.9848950937,11.34,1.75,0.31,0.19,0.09
2022-11-14 16:42:58,8.1,6.87,11.28,2023.98,1993.32,350.99,0.9848488198,11.32,1.76,0.32,0.19,0.09
2022-11-14 16:42:59,8.08,6.86,11.24,2018.47,1988.15,348.5,0.9849818931,11.3,1.75,0.32,0.18,0.09
2022-11-14 16:43:00,8.06,6.84,11.22,2014.06,1983.71,348.34,0.9849302312,11.28,1.75,0.33,0.18,0.09
2022-11-14 16:43:01,8.05,6.83,11.25,2010.07,1979.63,348.52,0.9848534259,11.25,1.75,0.33,0.18,0.09
2022-11-14 16:43:02,8.03,6.82,11.22,2005.17,1974.85,347.41,0.9848767306,11.23,1.74,0.32,0.18,0.09
2022-11-14 16:43:03,8.01,6.81,11.24,2001.65,1971.69,345.05,0.9850301027,11.22,1.74,0.33,0.18,0.09
2022-11-14 16:43:04,10.95,9.48,14.95,2723.02,2698.92,361.46,0.9911507525,15.41,1.71,0.4,0.2,0.1
2022-11-14 16:43:05,16.71,14.73,22.26,4134.28,4121.21,328.44,0.9968394219,23.6,1.69,0.54,0.26,0.14
2022-11-14 16:43:06,16.71,14.73,22.4,4134.44,4121.38,328.32,0.9968418727,23.6,1.69,0.55,0.27,0.14
2022-11-14 16:43:07,16.69,14.71,22.41,4128.78,4115.76,327.59,0.9968472954,23.58,1.69,0.55,0.27,0.14
2022-11-14 16:43:08,16.68,14.71,22.43,4127.95,4115.05,326.08,0.996875084,23.57,1.69,0.55,0.26,0.15
2022-11-14 16:43:09,16.68,14.7,22.37,4125.97,4113.14,325.07,0.9968914346,23.57,1.7,0.55,0.26,0.15
2022-11-14 16:43:10,16.67,14.7,22.21,4123.19,4110.38,324.71,0.9968942147,23.56,1.69,0.55,0.27,0.15
2022-11-14 16:43:11,16.67,14.69,22.14,4121.68,4108.81,325.36,0.9968795139,23.55,1.69,0.56,0.27,0.15
2022-11-14 16:43:12,16.67,14.69,22.26,4123.02,4110.07,326.56,0.9968584811,23.55,1.69,0.55,0.28,0.15
2022-11-14 16:43:13,16.67,14.69,22.32,4124.31,4111.34,326.77,0.9968564355,23.56,1.69,0.55,0.28,0.15
2022-11-14 16:43:14,16.67,14.7,22.35,4125.71,4112.82,325.82,0.9968768345,23.56,1.69,0.56,0.28,0.15
2022-11-14 16:43:15,16.67,14.7,22.36,4126.14,4113.13,327.47,0.9968456779,23.57,1.7,0.55,0.28,0.15
2022-11-14 16:43:16,16.67,14.7,22.39,4125.94,4113.0,326.6,0.9968621018,23.56,1.7,0.56,0.28,0.15
2022-11-14 16:43:17,16.68,14.7,22.36,4126.23,4113.4,325.15,0.9968903939,23.57,1.69,0.55,0.27,0.15
2022-11-14 16:43:18,16.67,14.7,22.23,4124.16,4111.33,325.12,0.9968878424,23.56,1.69,0.55,0.27,0.15
2022-11-14 16:43:19,16.68,14.7,22.14,4124.35,4111.48,325.66,0.9968776889,23.56,1.69,0.55,0.27,0.15
