Timestamp,RMS Current,Average Current,Peak Current,Apparent (W),Active (W),Reactive (W),Power Factor,Fundamental Frequency (50Hz),Third Harmonics (150Hz),Fifth (250Hz),Seventh (350Hz),Ninth (450Hz)
2022-11-14 16:42:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14 16:42:47,2.13,1.71,3.4,519.77,475.07,210.89,0.9139898298,2.9,0.56,0.04,0.05,0.05
2022-11-14 16:42:48,10.98,9.19,15.12,2733.31,2673.42,569.03,0.9780894073,15.31,2.73,0.43,0.31,0.12
2022-11-14 16:42:49,8.32,7.05,11.6,2076.11,2043.1,368.74,0.9841004416,11.64,1.84,0.32,0.21,0.1
2022-11-14 16:42:50,8.26,7.0,11.49,2059.83,2027.89,361.33,0.9844942015,11.54,1.8,0.32,0.2,0.09
2022-11-14 16:42:51,8.24,6.99,11.48,2056.97,2025.18,360.27,0.9845423703,11.52,1.78,0.32,0.2,0.09
2022-11-14 16:42:52,8.22,6.98,11.46,2051.96,2020.64,357.13,0.9847377845,11.49,1.77,0.32,0.19,0.09
2022-11-14 16:42:53,8.21,6.97,11.44,2048.86,2017.79,355.41,0.984839587,11.47,1.76,0.32,0.19,0.09
2022-11-14 16:42:54,8.21,6.96,11.48,2048.41,2017.06,357.06,0.9846908295,11.46,1.76,0.32,0.18,0.08
2022-11-14 16:42:55,8.19,6.95,11.46,2046.01,2014.67,356.74,0.9846824266,11.45,1.76,0.32,0.18,0.08
2022-11-14 16:42:56,8.18,6.94,11.4,2043.4,2012.16,355.95,0.9847113354,11.43,1.76,0.31,0.19,0.09
2022-11-14 16:42:57,8.17,6.93,11.4,2040.36,2008.86,357.15,0.9845607707,11.42,1.77,0.31,0.19,0.09
2022-11-14 16:42:58,8.16,6.92,11.38,2038.44,2006.9,357.18,0.9845292319,11.41,1.77,0.32,0.19,0.09
2022-11-14 16:42:59,8.14,6.9,11.32,2032.92,2001.68,355.02,0.9846328472,11.38,1.77,0.32,0.19,0.09
