Timestamp,RMS Current,Average Current,Peak Current,Apparent (W),Active (W),Reactive (W),Power Factor,Fundamental Frequency (50Hz),Third Harmonics (150Hz),Fifth (250Hz),Seventh (350Hz),Ninth (450Hz)
2022-11-22 11:19:03,0.06,0.04,0.0,14.98,8.35,12.43,0.557690605,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:04,0.07,0.04,0.0,16.2,9.81,12.9,0.6052980012,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:05,0.07,0.05,0.0,17.06,10.84,13.17,0.6357411354,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:06,0.07,0.05,0.0,17.28,11.3,13.07,0.6540811778,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:07,0.07,0.05,0.0,17.04,10.92,13.09,0.6404437125,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:08,0.07,0.05,0.0,16.92,10.73,13.09,0.6340766454,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:09,0.07,0.05,0.0,16.95,10.77,13.08,0.6357742435,0.01,0.0,0.0,0.0,0.0
2022-11-22 11:19:10,0.07,0.05,0.0,16.7,10.73,12.8,0.6426521748,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:11,0.07,0.05,0.0,17.08,10.92,13.13,0.6395494808,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:12,0.07,0.05,0.0,16.57,10.43,12.88,0.629603969,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:13,0.07,0.05,0.0,16.88,10.83,12.96,0.6411499441,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:14,0.07,0.05,0.0,17.23,11.23,13.06,0.6520156717,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:15,0.07,0.05,0.0,17.15,11.12,13.07,0.6479914367,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:16,0.07,0.05,0.0,17.02,10.99,13.0,0.645548143,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:17,0.07,0.05,0.0,17.09,11.15,12.95,0.6525790926,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:18,0.07,0.05,0.0,16.87,10.76,12.99,0.6380211224,0.02,0.0,0.0,0.0,0.0
2022-11-22 11:19:19,8.84,7.77,11.42,2180.67,2153.59,342.6,0.9875815678,12.38,0.21,0.44,0.11,0.27
2022-11-22 11:19:20,14.52,12.99,18.55,3580.08,3575.22,186.34,0.99864449,20.54,0.13,0.57,0.14,0.29
2022-11-22 11:19:21,14.45,12.93,18.51,3562.69,3557.76,187.23,0.9986181262,20.43,0.12,0.56,0.14,0.28
2022-11-22 11:19:22,14.4,12.89,18.49,3553.02,3548.38,181.57,0.9986934469,20.36,0.12,0.56,0.13,0.27
2022-11-22 11:19:23,14.37,12.86,18.37,3544.77,3539.94,185.1,0.9986356513,20.31,0.12,0.56,0.13,0.27
2022-11-22 11:19:24,14.35,12.84,18.21,3539.15,3534.5,181.44,0.9986849532,20.28,0.11,0.55,0.13,0.26
2022-11-22 11:19:25,14.34,12.84,18.35,3539.58,3535.04,179.35,0.9987155212,20.27,0.11,0.54,0.13,0.25
2022-11-22 11:19:26,14.33,12.83,18.4,3538.68,3534.04,181.01,0.9986908593,20.25,0.1,0.54,0.13,0.25
2022-11-22 11:19:27,14.32,12.81,18.32,3531.75,3527.09,181.43,0.9986796541,20.23,0.11,0.53,0.12,0.26
2022-11-22 11:19:28,14.3,12.81,18.14,3527.07,3522.59,177.75,0.9987292603,20.21,0.1,0.53,0.13,0.25
2022-11-22 11:19:29,14.3,12.8,18.27,3525.03,3520.49,178.7,0.9987142305,20.21,0.1,0.54,0.13,0.26
2022-11-22 11:19:30,14.29,12.79,18.29,3521.3,3516.77,178.61,0.9987127089,20.2,0.11,0.54,0.13,0.27
2022-11-22 11:19:31,14.29,12.79,18.34,3523.73,3518.83,185.79,0.9986091269,20.21,0.12,0.55,0.12,0.29
2022-11-22 11:19:32,14.29,12.79,18.26,3523.07,3518.74,174.54,0.9987720956,20.22,0.1,0.54,0.12,0.28
2022-11-22 11:19:33,14.28,12.78,18.12,3518.92,3514.28,180.71,0.9986804706,20.2,0.11,0.55,0.11,0.3
2022-11-22 11:19:34,14.28,12.78,18.17,3519.52,3515.06,177.04,0.9987339953,20.21,0.1,0.54,0.11,0.29
2022-11-22 11:19:35,14.28,12.78,18.26,3519.55,3515.12,176.53,0.9987413577,20.21,0.1,0.54,0.11,0.29
2022-11-22 11:19:36,14.27,12.77,18.29,3516.32,3511.58,182.59,0.9986509388,20.2,0.11,0.55,0.11,0.3
2022-11-22 11:19:37,14.27,12.76,18.3,3515.22,3510.22,187.36,0.9985785652,20.19,0.12,0.56,0.1,0.31
2022-11-22 11:19:38,14.27,12.77,18.32,3514.92,3510.29,180.29,0.9986836213,20.19,0.11,0.55,0.1,0.3
2022-11-22 11:19:39,14.27,12.77,18.31,3515.05,3510.59,177.02,0.9987310407,20.19,0.11,0.54,0.1,0.29
2022-11-22 11:19:40,14.26,12.77,18.32,3511.77,3507.57,171.77,0.9988030516,20.18,0.1,0.54,0.11,0.28
2022-11-22 11:19:41,14.26,12.76,18.32,3510.51,3505.66,184.37,0.998619969,20.17,0.12,0.55,0.11,0.3
2022-11-22 11:19:42,14.25,12.75,18.27,3509.01,3504.19,183.97,0.9986246437,20.17,0.12,0.55,0.1,0.3
2022-11-22 11:19:43,14.25,12.76,18.16,3509.68,3505.02,180.77,0.9986726169,20.16,0.11,0.54,0.1,0.29
2022-11-22 11:19:44,14.26,12.76,18.08,3510.75,3506.32,176.27,0.9987386995,20.16,0.11,0.54,0.1,0.28
2022-11-22 11:19:45,14.25,12.76,18.21,3509.09,3504.65,176.6,0.9987328308,20.16,0.11,0.53,0.11,0.28
2022-11-22 11:19:46,14.26,12.76,18.27,3513.8,3509.14,180.91,0.9986737881,20.16,0.12,0.54,0.11,0.28
2022-11-22 11:19:47,14.27,12.77,18.31,3519.44,3514.72,182.36,0.9986567499,20.17,0.12,0.54,0.1,0.27
2022-11-22 11:19:48,14.28,12.78,18.22,3524.07,3519.48,179.81,0.9986974861,20.18,0.11,0.54,0.1,0.27
2022-11-22 11:19:49,14.29,12.79,18.18,3527.75,3523.26,177.88,0.998728017,20.19,0.11,0.54,0.11,0.27
2022-11-22 11:19:50,14.28,12.78,18.31,3523.98,3519.35,180.6,0.9986859417,20.18,0.11,0.54,0.11,0.27
2022-11-22 11:19:51,14.28,12.78,18.35,3524.74,3520.04,181.9,0.9986674551,20.18,0.1,0.53,0.11,0.27
