Timestamp,RMS Current,Average Current,Peak Current,Apparent (W),Active (W),Reactive (W),Power Factor,Fundamental Frequency (50Hz),Third Harmonics (150Hz),Fifth (250Hz),Seventh (350Hz),Ninth (450Hz)
2022-11-22 11:19:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:10,0.0,0.0,0.0,0.08,0.0,0.08,0.0321683245,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22 11:19:19,8.77,7.71,11.37,2161.56,2136.64,327.33,0.9884673877,12.29,0.21,0.43,0.11,0.27
2022-11-22 11:19:20,14.43,12.91,18.46,3558.49,3553.66,185.46,0.9986408962,20.41,0.13,0.57,0.14,0.29
2022-11-22 11:19:21,14.36,12.85,18.43,3541.02,3536.12,186.21,0.9986163644,20.3,0.13,0.56,0.14,0.28
2022-11-22 11:19:22,14.32,12.81,18.42,3531.92,3527.34,179.95,0.9987011953,20.24,0.12,0.55,0.13,0.27
2022-11-22 11:19:23,14.28,12.78,18.3,3523.31,3518.5,183.97,0.9986358329,20.19,0.13,0.55,0.13,0.27
2022-11-22 11:19:24,14.26,12.77,18.13,3517.68,3513.07,180.06,0.9986890498,20.16,0.11,0.55,0.13,0.26
2022-11-22 11:19:25,14.26,12.76,18.27,3518.14,3513.62,178.11,0.9987176539,20.14,0.11,0.54,0.13,0.25
2022-11-22 11:19:26,14.25,12.76,18.32,3517.58,3512.99,179.67,0.9986947452,20.13,0.1,0.54,0.13,0.25
2022-11-22 11:19:27,14.23,12.74,18.25,3511.1,3506.48,179.97,0.9986854339,20.11,0.11,0.53,0.12,0.25
2022-11-22 11:19:28,14.22,12.73,18.07,3505.79,3501.34,176.72,0.9987287507,20.09,0.1,0.53,0.13,0.25
